STATE,COUNTY,STNAME,CTYNAME,YEAR,AGE04_TOT,AGE59_TOT,AGE1014_TOT,AGE1519_TOT,AGE2024_TOT,AGE2529_TOT,AGE3034_TOT,AGE3539_TOT,AGE4044_TOT,AGE4549_TOT,AGE5054_TOT,AGE5559_TOT,AGE6064_TOT,AGE6569_TOT,AGE7074_TOT,AGE7579_TOT,AGE8084_TOT,AGE85PLUS_TOT
35,1,New Mexico,Bernalillo County,12,36827,40094,42513,42598,43933,50801,50239,47874,41120,40150,39868,44872,43330,38213,30723,19823,13020,13123
35,3,New Mexico,Catron County,12,89,103,125,145,138,116,107,96,123,131,147,307,374,470,448,302,188,118
35,5,New Mexico,Chaves County,12,4192,4550,4938,5199,4173,4298,3957,4202,3688,3475,3610,4029,3870,3243,2641,1809,1363,1378
35,6,New Mexico,Cibola County,12,1606,1880,1724,1625,1714,1997,1832,1787,1635,1477,1484,1666,1779,1484,1130,768,545,542
35,7,New Mexico,Colfax County,12,544,568,620,624,564,673,602,613,531,585,744,954,1052,992,889,616,404,366
35,9,New Mexico,Curry County,12,3862,3637,3424,3304,4560,4595,3773,3258,2556,2318,2277,2632,2468,1886,1579,1146,867,812
35,11,New Mexico,De Baca County,12,81,122,113,118,63,79,66,118,63,78,96,128,122,141,137,83,68,72
35,13,New Mexico,Dona Ana County,12,13678,14898,15216,17352,22853,15952,12772,13015,11312,11086,10753,12136,11758,10850,9397,6613,4467,4087
35,15,New Mexico,Eddy County,12,4281,4438,4264,3964,3684,4331,4095,4031,3414,3145,3204,3611,3463,2789,2153,1443,1062,1088
35,17,New Mexico,Grant County,12,1356,1455,1520,1597,1413,1316,1273,1358,1378,1320,1357,1812,2123,2372,2055,1492,892,909
35,19,New Mexico,Guadalupe County,12,208,228,281,275,244,312,321,307,256,211,213,285,306,238,204,147,144,120
35,21,New Mexico,Harding County,12,17,28,18,12,27,25,26,34,23,20,37,50,63,74,63,30,23,55
35,23,New Mexico,Hidalgo County,12,263,253,281,246,234,256,219,219,178,206,301,328,271,287,247,175,114,120
35,25,New Mexico,Lea County,12,5686,5949,6179,5432,4921,5252,5104,5069,4247,3852,3748,3998,3557,2695,2049,1387,991,954
35,27,New Mexico,Lincoln County,12,919,989,1042,996,788,892,964,1040,855,954,1092,1562,1762,1724,1625,1130,698,540
35,28,New Mexico,Los Alamos County,12,1007,1138,1317,1205,961,1112,1369,1324,1137,1205,1289,1509,1293,1148,836,644,427,448
35,29,New Mexico,Luna County,12,1779,1726,1672,1603,1471,1574,1369,1236,1134,1138,1198,1420,1357,1302,1392,1053,702,583
35,31,New Mexico,McKinley County,12,4607,6072,6050,5466,4652,5647,5144,4296,4025,3882,3978,4325,4023,3184,2290,1599,1108,1019
35,33,New Mexico,Mora County,12,205,221,201,265,204,219,188,268,191,225,286,348,393,402,381,215,161,148
35,35,New Mexico,Otero County,12,4496,4302,4244,3962,5228,5528,4913,4356,3503,3309,3414,4312,4236,3505,3008,2160,1633,1381
35,37,New Mexico,Quay County,12,446,494,500,503,344,452,397,473,387,406,506,583,640,647,585,428,247,215
35,39,New Mexico,Rio Arriba County,12,2288,2643,2545,2473,2153,2277,2279,2204,2069,2276,2256,2780,2864,2517,2036,1428,979,854
35,41,New Mexico,Roosevelt County,12,1265,1258,1265,1604,2302,1351,1068,1037,938,918,875,921,983,843,669,496,370,337
35,43,New Mexico,Sandoval County,12,7874,9305,10238,9653,7840,8662,9332,9868,8975,9108,8587,10251,9965,9445,7602,4887,2721,2435
35,45,New Mexico,San Juan County,12,7755,9064,9756,8838,7198,8653,8257,8290,7354,6781,6543,8147,7925,6526,4876,3389,2334,2272
35,47,New Mexico,San Miguel County,12,1226,1310,1307,1829,1812,1737,1512,1473,1412,1602,1564,2201,2125,1982,1696,1160,749,580
35,49,New Mexico,Santa Fe County,12,6201,7059,8195,8029,7630,8232,8423,8708,8381,8755,9504,11163,11972,12930,11178,6859,3760,3379
35,51,New Mexico,Sierra County,12,516,458,468,410,412,487,450,438,399,483,597,748,886,1124,1054,800,574,487
35,53,New Mexico,Socorro County,12,937,1052,1087,1279,1178,985,931,887,868,848,911,1161,1177,1075,904,622,396,339
35,55,New Mexico,Taos County,12,1412,1511,1726,1689,1510,1621,1679,1806,1771,1832,2030,2472,2650,3014,2465,1637,1015,883
35,57,New Mexico,Torrance County,12,800,809,949,947,881,937,901,898,855,892,907,1159,1207,1163,909,576,365,306
35,59,New Mexico,Union County,12,193,221,219,195,237,305,272,278,261,248,201,248,294,246,222,168,114,137
35,61,New Mexico,Valencia County,12,4370,4944,5492,5021,4679,4960,4619,4683,4263,4466,4697,5412,5103,4678,3851,2528,1600,1322
